estimator	min_score	mean_score	max_score	std_score	cls__criterion	cls__max_depth	cls__max_features	tfidf__use_idf	vect__ngram_range	cls__C	cls__loss	cls__alpha	cls__kernel	cls__n_estimators
SVC	0.939	0.9581100000000001	0.9767	0.012153801874310756				False	(1, 2)	0.8			rbf	
SVC	0.9406	0.9578300000000001	0.9692	0.01023641050368731				True	(1, 2)	0.7			rbf	
SVC	0.9376	0.9578199999999999	0.9758	0.011204624045455506				False	(1, 1)	100.0			poly	
SVC	0.9376	0.9578199999999999	0.9758	0.011204624045455506				False	(1, 1)	10.0			poly	
SVC	0.9375	0.9577899999999999	0.9762000000000001	0.012450096385169083				False	(1, 1)	1.0			rbf	
SVC	0.9370999999999999	0.9574	0.9754	0.01109963963378996				False	(1, 1)	2.0			poly	
SVC	0.9369000000000001	0.9571800000000001	0.9697	0.01107030261555661				False	(1, 2)	1.0			sigmoid	
SVC	0.9382	0.9569700000000001	0.9741	0.01071905312982447				False	(1, 1)	1.0			poly	
SVC	0.9406	0.95688	0.9718	0.009998479884462444				True	(1, 1)	2.0			rbf	
SVC	0.9408	0.95676	0.9703999999999999	0.009919899193036194				True	(1, 1)	10.0			rbf	
SVC	0.9408	0.95676	0.9703999999999999	0.009919899193036194				True	(1, 1)	100.0			rbf	
SVC	0.9331	0.95662	0.9691	0.012937681399694463				True	(1, 2)	0.5			sigmoid	
SVC	0.9364	0.9564999999999999	0.9722999999999999	0.01227648158064843				True	(1, 1)	1.0			rbf	
SVC	0.9432	0.95647	0.9765999999999999	0.010611979080265828				False	(1, 2)	2.0			poly	
SVC	0.9432	0.9563999999999998	0.9765999999999999	0.010546658238513255				False	(1, 2)	10.0			poly	
SVC	0.9432	0.9563999999999998	0.9765999999999999	0.010546658238513255				False	(1, 2)	100.0			poly	
SVC	0.9376	0.9560699999999999	0.973	0.01093627450277286				False	(1, 1)	0.8			poly	
RandomForestClassifier	0.9439500000000001	0.9558800000000002	0.9705	0.00836263116489063	gini		log2	False	(1, 1)					150
RandomForestClassifier	0.9416	0.95579	0.9692500000000001	0.009782658125479007	entropy		log2	True	(1, 1)					150
SVC	0.9317000000000001	0.95573	0.9745	0.013827657068353967				False	(1, 1)	0.8			rbf	
SVC	0.9356	0.9557299999999997	0.9747	0.012998542225957505				False	(1, 2)	0.7			rbf	
SVC	0.9333999999999999	0.9557100000000001	0.9686999999999999	0.012164740030103392				False	(1, 2)	0.8			sigmoid	
SVC	0.9408000000000001	0.9555400000000001	0.9718	0.010574138262761655				False	(1, 2)	1.0			poly	
SVC	0.9325	0.9553899999999999	0.9707	0.013048406032922179				True	(1, 1)	0.8			rbf	
RandomForestClassifier	0.9446	0.9553799999999999	0.9680500000000001	0.00863644023889474	entropy		log2	True	(1, 1)					100
RandomForestClassifier	0.94365	0.9553649999999999	0.9686	0.008044471704220247	gini		log2	False	(1, 2)					150
RandomForestClassifier	0.9430499999999999	0.95512	0.97085	0.009129490675826354	entropy		10	True	(1, 1)					150
RandomForestClassifier	0.9410999999999999	0.955105	0.968	0.009057578318734003	entropy		10	False	(1, 2)					150
SVC	0.9366	0.95502	0.9714	0.01098214915214687				False	(1, 1)	0.7			poly	
SVC	0.9323	0.9550000000000001	0.968	0.012564394135810916				False	(1, 2)	0.7			sigmoid	
RandomForestClassifier	0.9419500000000001	0.9548850000000002	0.97285	0.010033669568009504	gini		10	False	(1, 2)					100
RandomForestClassifier	0.9393	0.95475	0.9711500000000001	0.01027112457328798	entropy		10	False	(1, 1)					80
LinearSVC	0.9318	0.95472	0.97	0.013063751375466396				False	(1, 2)	0.5	hinge			
SVC	0.9318	0.9547100000000001	0.97	0.01303260910178772				False	(1, 2)	0.5			linear	
LinearSVC	0.9349000000000001	0.9547000000000001	0.9684	0.011866928836055227				False	(1, 2)	0.2	squared_hinge			
RandomForestClassifier	0.93615	0.9546899999999999	0.9697	0.01083909129032503	entropy		log2	False	(1, 1)					150
RandomForestClassifier	0.9434	0.9546050000000001	0.9665	0.008540680593489017	gini		10	True	(1, 1)					150
RandomForestClassifier	0.94315	0.9545999999999999	0.96585	0.008444968916461416	entropy		log2	True	(1, 2)					150
RandomForestClassifier	0.9409000000000001	0.95455	0.9682	0.010493259741376807	gini		log2	False	(1, 1)					80
RandomForestClassifier	0.9373	0.9545250000000001	0.96875	0.01129701841195277	entropy		10	False	(1, 1)					100
RandomForestClassifier	0.94355	0.954495	0.9678	0.008967732433564236	entropy		10	False	(1, 1)					150
RandomForestClassifier	0.94205	0.954495	0.9687500000000001	0.010022560800514004	gini		10	False	(1, 1)					150
RandomForestClassifier	0.9378	0.954485	0.9676	0.009740406819019425	entropy		10	False	(1, 2)					80
RandomForestClassifier	0.9390499999999999	0.95447	0.968	0.009594977853022922	entropy		log2	False	(1, 2)					150
RandomForestClassifier	0.9342499999999999	0.954355	0.9672499999999999	0.010526786071731473	entropy		10	False	(1, 2)					100
SVC	0.9301	0.9542900000000001	0.9698	0.013307400196882917				True	(1, 1)	0.7			rbf	
SVC	0.9297000000000001	0.9542000000000002	0.9736	0.014157895323811369				False	(1, 1)	0.7			rbf	
RandomForestClassifier	0.9350999999999999	0.95419	0.9700000000000001	0.011635286846485585	gini		sqrt	False	(1, 2)					100
RandomForestClassifier	0.93765	0.9541449999999999	0.9648	0.00881562391439199	gini		sqrt	True	(1, 1)					150
RandomForestClassifier	0.9387	0.954115	0.96875	0.009438989617538513	gini		10	False	(1, 1)					80
